Ay,altın fiyat: (Türkiye)
2014-01,8
2014-02,6
2014-03,6
2014-04,5
2014-05,4
2014-06,5
2014-07,4
2014-08,4
2014-09,4
2014-10,4
2014-11,5
2014-12,8
2015-01,9
2015-02,7
2015-03,5
2015-04,5
2015-05,4
2015-06,5
2015-07,6
2015-08,7
2015-09,5
2015-10,4
2015-11,5
2015-12,5
2016-01,4
2016-02,6
2016-03,5
2016-04,5
2016-05,6
2016-06,5
2016-07,6
2016-08,6
2016-09,5
2016-10,5
2016-11,9
2016-12,6
2017-01,7
2017-02,6
2017-03,6
2017-04,7
2017-05,8
2017-06,6
2017-07,7
2017-08,6
2017-09,6
2017-10,7
2017-11,7
2017-12,8
2018-01,7
2018-02,6
2018-03,7
2018-04,9
2018-05,11
2018-06,13
2018-07,17
2018-08,28
2018-09,16
2018-10,13
2018-11,12
2018-12,12
2019-01,11
2019-02,9
2019-03,12
2019-04,12
2019-05,14
2019-06,18
2019-07,15
2019-08,23
2019-09,20
2019-10,18
2019-11,15
2019-12,16
2020-01,21
2020-02,22
2020-03,23
2020-04,22
2020-05,31
2020-06,32
2020-07,55
2020-08,100
2020-09,37
2020-10,34
2020-11,45
2020-12,27
2021-01,24
2021-02,35
2021-03,34
2021-04,29
2021-05,33
2021-06,27
2021-07,22
2021-08,23
2021-09,20
2021-10,27
2021-11,47
2021-12,69
2022-01,41
2022-02,44
2022-03,48
2022-04,31
2022-05,43
2022-06,50
2022-07,42
2022-08,39
2022-09,39
2022-10,34
2022-11,37
2022-12,36
2023-01,42
2023-02,32
2023-03,40
2023-04,44
2023-05,46
2023-06,58
2023-07,57
2023-08,43
2023-09,36
2023-10,44
2023-11,38
2023-12,38
