Ay,işsizlik maaş: (Türkiye)
2014-01,16
2014-02,15
2014-03,13
2014-04,12
2014-05,13
2014-06,12
2014-07,15
2014-08,11
2014-09,16
2014-10,13
2014-11,16
2014-12,16
2015-01,27
2015-02,22
2015-03,15
2015-04,14
2015-05,17
2015-06,16
2015-07,16
2015-08,15
2015-09,14
2015-10,15
2015-11,20
2015-12,15
2016-01,32
2016-02,28
2016-03,24
2016-04,16
2016-05,16
2016-06,21
2016-07,20
2016-08,23
2016-09,19
2016-10,23
2016-11,20
2016-12,21
2017-01,33
2017-02,28
2017-03,21
2017-04,20
2017-05,20
2017-06,22
2017-07,20
2017-08,21
2017-09,21
2017-10,21
2017-11,22
2017-12,19
2018-01,29
2018-02,26
2018-03,23
2018-04,20
2018-05,26
2018-06,21
2018-07,24
2018-08,26
2018-09,25
2018-10,30
2018-11,28
2018-12,35
2019-01,51
2019-02,44
2019-03,29
2019-04,30
2019-05,36
2019-06,32
2019-07,33
2019-08,25
2019-09,33
2019-10,45
2019-11,28
2019-12,27
2020-01,34
2020-02,23
2020-03,47
2020-04,100
2020-05,44
2020-06,29
2020-07,28
2020-08,21
2020-09,17
2020-10,15
2020-11,16
2020-12,20
2021-01,19
2021-02,19
2021-03,17
2021-04,14
2021-05,15
2021-06,16
2021-07,25
2021-08,21
2021-09,20
2021-10,15
2021-11,14
2021-12,21
2022-01,34
2022-02,32
2022-03,24
2022-04,19
2022-05,22
2022-06,22
2022-07,30
2022-08,26
2022-09,23
2022-10,21
2022-11,22
2022-12,27
2023-01,35
2023-02,23
2023-03,25
2023-04,23
2023-05,20
2023-06,21
2023-07,29
2023-08,28
2023-09,21
2023-10,20
2023-11,19
2023-12,25
